Ref No,Session,Subject,StartDate,Classes
1,2017-18,Final Term-1 for Classes 1st to 8th,29/1/2018,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th"
2,2017-18,MT-6 - Maths,29/1/2018,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th"
3,2017-18,Practical-2 (Sub:1) - 11th,30/1/2018,"SN.11th,MT.11th"
4,2017-18,Practical-2 (Sub:2) - 11th,31/1/2018,"SN.11th,MT.11th"
5,2017-18,Final Term-1 for Classes 1st to 8th,31/1/2018,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th"
6,2017-18,Declamation-Hindi - 9th-10th,31/1/2018,"SN.9th,SN.10th,MT.9th,MT.10th"
7,2017-18,Practical-2 (Sub:3) - 11th,1/2/2018,"SN.11th,MT.11th"
8,2017-18,Declamation-Hindi - 6th-8th,1/2/2018,"SN.6th,SN.7th,SN.8th,MT.6th,MT.7th,MT.8th"
9,2017-18,Nature's Basket Activity - Nur. & K.G./Prep.,1/2/2018,"SN.Pre-Nur,SN.Nur,SN.LKG,SN.UKG,MT.Pre-Nur,MT.Nur,MT.LKG,MT.UKG"
10,2017-18,Practical-2 (Sub:4) - 11th,2/2/2018,"SN.11th,MT.11th"
11,2017-18,Final Term-1 for Classes 1st to 8th,2/2/2018,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th"
12,2017-18,Declamation-Hindi - 3rd-5th,2/2/2018,"SN.3rd,SN.4th,SN.5th,MT.3rd,MT.4th,MT.5th"
13,2017-18,Preparatory Holiday for Class 11th,3/2/2018,"SN.11th,MT.11th"
14,2017-18,Final Term-1 for Classes 1st to 8th,3/2/2018,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th"
15,2017-18,Final Term-1 for Classes 1st to 8th,5/2/2018,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th"
16,2017-18,MT-6 - Science,5/2/2018,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th"
17,2017-18,Awareness about First-Aid Activity - Nur. & K.G./Prep.,5/2/2018,"SN.Pre-Nur,SN.Nur,SN.LKG,SN.UKG,MT.Pre-Nur,MT.Nur,MT.LKG,MT.UKG"
18,2017-18,Finals-2 (Sub:1) - 9th & 11th,6/2/2018,"SN.9th,SN.11th,MT.9th,MT.11th"
19,2017-18,Final Term-1 for Classes 1st to 8th,7/2/2018,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th"
20,2017-18,Finals-2 (Sub:2) - 9th & 11th,8/2/2018,"SN.9th,SN.11th,MT.9th,MT.11th"
21,2017-18,Finals-2 (Sub:3) - 9th & 11th,9/2/2018,"SN.9th,SN.11th,MT.9th,MT.11th"
22,2017-18,2nd Saturday Off,10/2/2018,"SN.Pre-Nur,SN.Nur,SN.LKG,SN.UKG,SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,SN.9th,SN.10th,SN.11th,SN.12th,MT.Pre-Nur,MT.Nur,MT.LKG,MT.UKG,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th,MT.9th,MT.10th,MT.11th,MT.12th"
23,2017-18,MT-6 - Social Science,12/2/2018,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th,MT.1st,MT.2nd,MT.3rd,MT.4th,MT.5th,MT.6th,MT.7th,MT.8th"
24,2017-18,Finals-2 (Sub:4) - 9th & 11th,12/2/2018,"SN.9th,SN.11th,MT.9th,MT.11th"
