Ref No,Date,Examination,Subject,Exam Time,School Time,Classes (Visible To),Max Marks
1,16/4/2018,Monday Test-1,Geodraphy,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
2,23/4/2018,Monday Test-1,Hindi,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
3,30/4/2018,Monday Test-1,Maths,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
4,7/5/2018,Monday Test-1,Science,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
5,14/5/2018,Monday Test-1,S.Science,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
6,9/7/2018,Monday Test-2,English,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
7,16/7/2018,Monday Test-2,Hindi,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
8,23/7/2018,Monday Test-2,Maths,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
9,30/7/2018,Monday Test-2,Science,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
10,6/8/2018,Monday Test-2,S.Science,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
11,13/8/2018,Monday Test-3,English,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
12,20/8/2018,Monday Test-3,Hindi,08:20 am - 09:40 am,08:00 am - 02:00 pm,"SN.1st,SN.2nd,SN.3rd,SN.4th,SN.5th,SN.6th,SN.7th,SN.8th",
